v,Feature importance based on training set,Feature importance based on test set,Subtypes,colors
SaaO,7.817750288685588e-05,8.064643903205049e-05,Estate,#6568f7
MAXaaO,0.0018293170089072053,-0.001309038563208187,Estate,#6568f7
NumCyclicNitrogenAtoms,-2.2897581485104013e-05,-0.0010036995465105836,Constitution,#ffd500
fr_Ar_N,4.4467435641792896e-05,-0.0009248764677481924,Fragment,#009eff
NaaN,4.170911217282747e-05,3.612854263990162e-05,Estate,#6568f7
fr_thiazole,0.0005902150984514742,0.0003166124224662781,Fragment,#009eff
PEOE_VSA5,5.550293082545732e-05,0.00011748752810736285,MOE,#a700ff
MolQedWeightsNone,0.02190760946409276,0.016575912860306796,Property,#ff6a00
GATS4i,0.0009121645919302201,-0.001661344685337851,Autocorr,#bfff00
GATS4p,0.0002106355333870713,-0.0016851303252307659,Autocorr,#bfff00
GATS4m,0.00023698993027210236,-0.0010612430897626313,Autocorr,#bfff00
GATS5p,0.0004955424334515124,2.7202069759368896e-05,Autocorr,#bfff00
GATS5m,0.0005379046567461909,-0.00046162307262420654,Autocorr,#bfff00
GATS6m,4.0715729654472455e-07,-0.00015097179196099653,Autocorr,#bfff00
GATS7p,3.755600614985255e-05,4.746290770440975e-05,Autocorr,#bfff00
GATS7i,0.00016520604152570062,9.854408827614236e-06,Autocorr,#bfff00
GATS7pe,-0.00014214200729667503,-0.00042700699784548046,Autocorr,#bfff00
NChargeRelative,0.0004120309075171802,0.00028588148680597225,Charge,#0033ff
VE2_Dzi,0.00039369037205527757,-0.00028138336810201725,Matrix,#ff00ed
DetourIndex,3.339214759146003e-07,2.0678747782998386e-06,Matrix,#ff00ed
VR1_Dzse,-2.4867159398311856e-06,-5.330551754445523e-07,Matrix,#ff00ed
SpAbs_Dt,-4.4898214657251856e-07,2.5318427518961073e-06,Matrix,#ff00ed
ATS3se,2.8449026021171164e-05,4.913183775812069e-05,Autocorr,#bfff00
CIC1,0.0006656264039603954,0.0011208741502327646,InfoContent,#ff0082
KappaAlapha3,-1.4562498429349091e-08,5.540522661773295e-07,Kappa,#00ff86
