SMILES
COC1=CC=C(C2=C(C3=CC=C(OC)C=C3)N(C3=CC=CC=C3)C(C3=CC=[N+](C)C=C3)=N2)C=C1
O=CC1=CC=C(C2=NC(C3=CC=CC=C3)=C(C3=CC=CC=C3)N2)C=C1
